sku=16042 nodeID=2495
sku=16045 nodeID=2872
sku=16060 nodeID=2232
sku=16061 nodeID=3346
sku=16062 nodeID=2259
sku=16064 nodeID=2234
sku=16065 nodeID=2257
sku=16066 nodeID=3349
sku=16075 nodeID=2576
sku=16076 nodeID=2575
sku=18544 nodeID=2300
sku=18548 nodeID=2569
sku=18549 nodeID=11024
sku=18575 nodeID=2462
sku=18577 nodeID=2464
sku=18761 nodeID=2143
sku=18764 nodeID=2476
sku=18765 nodeID=2749
sku=18771 nodeID=2140
sku=18776 nodeID=11041
sku=18782 nodeID=2289
sku=18783 nodeID=2283
sku=18890 nodeID=3264
sku=18891 nodeID=3265
sku=18892 nodeID=3266
sku=18893 nodeID=3267
sku=19050 nodeID=3358
sku=19055 nodeID=4259
sku=19063 nodeID=9558
sku=19115 nodeID=265
sku=19120 nodeID=3208
sku=19140 nodeID=272
sku=19500 nodeID=2164
sku=19520 nodeID=2780
sku=19521 nodeID=2779
sku=19529 nodeID=2916
sku=19540 nodeID=3062
sku=19541 nodeID=2899
sku=19543 nodeID=3063
sku=19545 nodeID=2912
sku=19546 nodeID=2913
sku=19547 nodeID=2914
sku=19554 nodeID=2900
sku=19555 nodeID=2901
sku=19556 nodeID=2902
sku=19557 nodeID=2903
sku=19558 nodeID=2904
sku=19559 nodeID=2905
sku=19560 nodeID=2906
sku=19561 nodeID=2907
sku=19562 nodeID=2908
sku=19563 nodeID=2909
sku=19564 nodeID=2910
sku=19565 nodeID=2911
sku=19566 nodeID=3064
sku=19567 nodeID=3065
sku=19568 nodeID=3066
sku=19570 nodeID=3068
sku=19571 nodeID=3069
sku=19572 nodeID=3070
sku=19574 nodeID=3072
sku=19575 nodeID=3073
sku=19576 nodeID=3074
sku=19577 nodeID=3075
sku=19623 nodeID=11671
sku=19624 nodeID=11672
sku=19625 nodeID=9947
sku=19629 nodeID=4317
sku=19630 nodeID=7076
sku=19634 nodeID=7075
sku=19642 nodeID=7078
sku=19646 nodeID=7074
